"VPID","BNF","ATC","DDD","DDD_UOMCD"
"784590000","","R06AX26","120","258684004"
"39389511000001105","","B02BD03","",""
"39389411000001106","","B02BD03","",""
"39389311000001104","","N05AF03","",""
"39379311000001108","","","",""
"39380411000001101","","","",""
"39380011000001105","","","",""
"39380511000001102","","","",""
"39389911000001103","","L01EX12","",""
"39389711000001100","","L01EX12","",""
"39377511000001109","","B05XA02","",""
"39377611000001108","","B05XA02","",""
"39377411000001105","","B05BA03","",""
"39377211000001106","","B05BA03","",""
"39377311000001103","","B05BA03","",""
"39375211000001103","14040000","","",""
"39362811000001101","","","",""
"39361211000001109","","","",""
"39361311000001101","","","",""
"39361411000001108","","","",""
"39362911000001106","","A11CC05","20","258685003"
"39363111000001102","","L01CD01","",""
"39363211000001108","","V03AE02","6.4","258682000"
"39363011000001103","","","",""
"39345711000001109","","","",""
"39348611000001106","","","",""
"39346411000001107","","","",""
"39346811000001109","","","",""
"39347311000001102","","","",""
"39347911000001101","","","",""
"39348411000001108","","","",""
"39348911000001100","","","",""
"39349311000001107","","","",""
"39349711000001106","","","",""
"39350111000001103","","","",""
"39350511000001107","","","",""
"39350911000001100","","","",""
"39351411000001104","","","",""
"39351811000001102","","","",""
"39352211000001105","","","",""
"39352611000001107","","","",""
"39353011000001109","","","",""
"39353411000001100","","","",""
"39353811000001103","","","",""
"39355911000001109","","L01XC37","",""
"39355811000001104","","R06AD01","30","258684004"
"39355711000001107","","R06AD01","30","258684004"
"39356011000001101","","C03DA01","75","258684004"
"39342411000001106","","","",""
"39342511000001105","","","",""
"39342611000001109","","","",""
"39342711000001100","","","",""
"39342811000001108","","","",""
"39342911000001103","","","",""
"39343011000001106","","","",""
"39343111000001107","","","",""
"39344011000001108","","V09CA02","",""
"39337911000001100","","","",""
"39343711000001108","","L01EF01","",""
"39343811000001100","","L01EF01","",""
"39343911000001105","","L01EF01","",""
"39343211000001101","","B03BA51","",""
"39343411000001102","","","",""
"39343311000001109","","","",""
"39332211000001106","","L01XY02","",""
"39332111000001100","","L01XY02","",""
"39343511000001103","","R03AL11","",""
"39332311000001103","","","",""
"39343611000001104","","R03AL07","",""
"39331611000001102","","A06AC01","7","258682000"
"39326811000001106","14040000","","",""
"39332011000001101","","N05BA06","",""
"39331511000001101","","","",""
"39306411000001103","","","",""
"39306511000001104","","","",""
"39306611000001100","","","",""
"39306211000001102","","","",""
"39306011000001107","","","",""
"39306311000001105","","","",""
"39297211000001107","","B03BA01","1","258684004"
"39296411000001109","","J05AP55","",""
"39295711000001106","","L01CE02","",""
"39295811000001103","","L01CE02","",""
"39295911000001108","","L01CE02","",""
